REF_AREA;Reference area (TR);FREQ;Frequency of observation (A);INDICATOR;Statistical indicator (NG_ADNKS);IKAMET_YERI;Place of residence (_T);ADNKS_GOSTERGE;ADNKS Indicator (NUFUS);Time period (TIME_PERIOD);Observation;OBS_STATUS;Observation status;TIME_FORMAT;Time format;DECIMAL;Decimals;UNIT_MEASURE;Unit of measure;UNIT_MULT;Unit multiplier
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;_T;Total;NUFUS;Population;2007;70586256;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;_T;Total;NUFUS;Population;2008;71517100;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;_T;Total;NUFUS;Population;2009;72561312;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;_T;Total;NUFUS;Population;2010;73722988;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;_T;Total;NUFUS;Population;2011;74724269;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;_T;Total;NUFUS;Population;2012;75627384;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;_T;Total;NUFUS;Population;2013;76667864;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;_T;Total;NUFUS;Population;2014;77695904;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;_T;Total;NUFUS;Population;2015;78741053;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;_T;Total;NUFUS;Population;2016;79814871;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;_T;Total;NUFUS;Population;2017;80810525;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;_T;Total;NUFUS;Population;2018;82003882;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;_T;Total;NUFUS;Population;2019;83154997;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;_T;Total;NUFUS;Population;2020;83614362;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;_T;Total;NUFUS;Population;2021;84680273;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;_T;Total;NUFUS;Population;2022;85279553;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;_T;Total;NUFUS;Population;2023;85372377;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;_T;Total;NUFUS;Population;2024;85664944;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;_T;Total;NUFUS;Population;2025;86092168;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR;Türkiye;NUFUS;Population;2007;70586256;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR;Türkiye;NUFUS;Population;2008;71517100;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR;Türkiye;NUFUS;Population;2009;72561312;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR;Türkiye;NUFUS;Population;2010;73722988;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR;Türkiye;NUFUS;Population;2011;74724269;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR;Türkiye;NUFUS;Population;2012;75627384;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR;Türkiye;NUFUS;Population;2013;76667864;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR;Türkiye;NUFUS;Population;2014;77695904;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR;Türkiye;NUFUS;Population;2015;78741053;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR;Türkiye;NUFUS;Population;2016;79814871;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR;Türkiye;NUFUS;Population;2017;80810525;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR;Türkiye;NUFUS;Population;2018;82003882;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR;Türkiye;NUFUS;Population;2019;83154997;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR;Türkiye;NUFUS;Population;2020;83614362;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR;Türkiye;NUFUS;Population;2021;84680273;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR;Türkiye;NUFUS;Population;2022;85279553;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR;Türkiye;NUFUS;Population;2023;85372377;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR;Türkiye;NUFUS;Population;2024;85664944;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR;Türkiye;NUFUS;Population;2025;86092168;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR100;İstanbul;NUFUS;Population;2007;12573836;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR100;İstanbul;NUFUS;Population;2008;12697164;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR100;İstanbul;NUFUS;Population;2009;12915158;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR100;İstanbul;NUFUS;Population;2010;13255685;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR100;İstanbul;NUFUS;Population;2011;13624240;;;;;;;;;;
