Üniversite,Şehir,,,
Çukurova Üniversitesi,Adana,,Şehir,Üniversite Sayısı
Adana Alparslan Türkeş Bilim ve Teknoloji Üniversitesi,Adana,,İstanbul,60
Adıyaman Üniversitesi,Adıyaman,,Ankara,23
Afyon Kocatepe Üniversitesi,Afyonkarahisar,,İzmir,10
Afyonkarahisar Sağlık Bilimleri Üniversitesi,Afyonkarahisar,,Antalya,5
Ağrı İbrahim Çeçen Üniversitesi,Ağrı,,Konya,5
Aksaray Üniversitesi,Aksaray,,Gaziantep,4
Amasya Üniversitesi,Amasya,,Kayseri,4
Polis Akademisi,Ankara,,Mersin,4
Ankara Üniversitesi,Ankara,,Bursa,3
Orta Doğu Teknik Üniversitesi,Ankara,,Eskişehir,3
Hacettepe Üniversitesi,Ankara,,Kocaeli,3
Gazi Üniversitesi,Ankara,,Trabzon,3
İhsan Doğramacı Bilkent Üniversitesi,Ankara,,Adana,2
Başkent Üniversitesi,Ankara,,Afyonkarahisar,2
Atılım Üniversitesi,Ankara,,Balıkesir,2
Çankaya Üniversitesi,Ankara,,Erzurum,2
Ufuk Üniversitesi,Ankara,,Hatay,2
TOBB Ekonomi ve Teknoloji Üniversitesi,Ankara,,Isparta,2
TED Üniversitesi,Ankara,,Kahramanmaraş,2
Ankara Yıldırım Beyazıt Üniversitesi,Ankara,,Kütahya,2
Türk Hava Kurumu Üniversitesi,Ankara,,Malatya,2
Ankara Sosyal Bilimler Üniversitesi,Ankara,,Nevşehir,2
Yüksek İhtisas Üniversitesi,Ankara,,Sakarya,2
Jandarma ve Sahil Güvenlik Akademisi(Askeri),Ankara,,Samsun,2
Ankara Müzik ve Güzel Sanatlar Üniversitesi,Ankara,,Sivas,2
Ostim Teknik Üniversitesi,Ankara,,Adıyaman,1
Ankara Hacı Bayram Veli Üniversitesi,Ankara,,Aksaray,1
Ankara Medipol Üniversitesi,Ankara,,Amasya,1
Lokman Hekim Üniversitesi,Ankara,,Ardahan,1
Ankara Bilim Üniversitesi,Ankara,,Artvin,1
Akdeniz Üniversitesi,Antalya,,Aydın,1
Antalya Bilim Üniversitesi,Antalya,,Ağrı,1
Alanya Üniversitesi,Antalya,,Bartın,1
Alanya Alaaddin Keykubat Üniversitesi,Antalya,,Batman,1
Antalya Belek Üniversitesi,Antalya,,Bayburt,1
Ardahan Üniversitesi,Ardahan,,Bilecik,1
Artvin Çoruh Üniversitesi,Artvin,,Bingöl,1
Aydın Adnan Menderes Üniversitesi,Aydın,,Bitlis,1
Balıkesir Üniversitesi,Balıkesir,,Bolu,1
Bandırma Onyedi Eylül Üniversitesi,Balıkesir,,Burdur,1
Bartın Üniversitesi,Bartın,,Denizli,1
Batman Üniversitesi,Batman,,Diyarbakır,1
Bayburt Üniversitesi,Bayburt,,Düzce,1
Bilecik Şeyh Edebali Üniversitesi,Bilecik,,Edirne,1
Bingöl Üniversitesi,Bingöl,,Elazığ,1
Bitlis Eren Üniversitesi,Bitlis,,Erzincan,1
Bolu Abant İzzet Baysal Üniversitesi,Bolu,,Giresun,1
Burdur Mehmet Akif Ersoy Üniversitesi,Burdur,,Gümüşhane,1
Bursa Uludağ Üniversitesi,Bursa,,Hakkari,1
Bursa Teknik Üniversitesi,Bursa,,Iğdır,1
Mudanya Üniversitesi,Bursa,,Karabük,1
Çanakkale Onsekiz Mart Üniversitesi,Çanakkale,,Karaman,1
Çankırı Karatekin Üniversitesi,Çankırı,,Kars,1
Hitit Üniversitesi,Çorum,,Kastamonu,1
Pamukkale Üniversitesi,Denizli,,Kilis,1
Dicle Üniversitesi,Diyarbakır,,Kırklareli,1
Düzce Üniversitesi,Düzce,,Kırıkkale,1
Trakya Üniversitesi,Edirne,,Manisa,1
Fırat Üniversitesi,Elazığ,,Mardin,1
Erzincan Binali Yıldırım Üniversitesi,Erzincan,,Muğla,1
Atatürk Üniversitesi,Erzurum,,Muş,1
Erzurum Teknik Üniversitesi,Erzurum,,Niğde,1
Anadolu Üniversitesi,Eskişehir,,Ordu,1
Eskişehir Osmangazi Üniversitesi,Eskişehir,,Osmaniye,1
Eskişehir Teknik Üniversitesi,Eskişehir,,Rize,1
Gaziantep Üniversitesi,Gaziantep,,Siirt,1
Hasan Kalyoncu Üniversitesi,Gaziantep,,Sinop,1
Sanko Üniversitesi,Gaziantep,,Tekirdağ,1
Gaziantep İslam Bilim ve Teknoloji Üniversitesi,Gaziantep,,Tokat,1
Giresun Üniversitesi,Giresun,,Tunceli,1
Gümüşhane Üniversitesi,Gümüşhane,,Uşak,1
Hakkari Üniversitesi,Hakkari,,Van,1
Hatay Mustafa Kemal Üniversitesi,Hatay,,Yalova,1
İskenderun Teknik Üniversitesi,Hatay,,Yozgat,1
Iğdır Üniversitesi,Iğdır,,Zonguldak,1
Süleyman Demirel Üniversitesi,Isparta,,Çanakkale,1
Isparta Uygulamalı Bilimler Üniversitesi,Isparta,,Çankırı,1
İstanbul Üniversitesi,İstanbul,,Çorum,1
İstanbul Teknik Üniversitesi,İstanbul,,Şanlıurfa,1
Boğaziçi Üniversitesi,İstanbul,,Şırnak,1
Marmara Üniversitesi,İstanbul,,,208
Mimar Sinan Güzel Sanatlar Üniversitesi,İstanbul,,,
Yıldız Teknik Üniversitesi,İstanbul,,,
Galatasaray Üniversitesi,İstanbul,,,
Koç Üniversitesi,İstanbul,,,
Işık Üniversitesi,İstanbul,,,
