Üniversite,Şehir,,,
Abdullah Gül Üniversitesi,Kayseri,,Şehir,Üniversite Sayısı
Acıbadem Üniversitesi,İstanbul,,İstanbul,58
Adana Alparslan Türkeş Bilim ve Teknoloji Üniversitesi,Adana,,Ankara,21
Adıyaman Üniversitesi,Adıyaman,,İzmir,10
Afyon Kocatepe Üniversitesi,Afyonkarahisar,,Antalya,5
Afyonkarahisar Sağlık Bilimleri Üniversitesi,Afyonkarahisar,,Konya,5
Ağrı İbrahim Çeçen Üniversitesi,Ağrı,,Gaziantep,4
Akdeniz Üniversitesi,Antalya,,Kayseri,4
Aksaray Üniversitesi,Aksaray,,Mersin,4
Alanya Alaaddin Keykubat Üniversitesi,Antalya,,Bursa,3
Alanya Üniversitesi,Antalya,,Eskişehir,3
Altınbaş Üniversitesi,İstanbul,,Kocaeli,3
Amasya Üniversitesi,Amasya,,Trabzon,3
Anadolu Üniversitesi,Eskişehir,,Adana,2
Ankara Bilim Üniversitesi,Ankara,,Afyonkarahisar,2
Ankara Hacı Bayram Veli Üniversitesi,Ankara,,Balıkesir,2
Ankara Medipol Üniversitesi,Ankara,,Erzurum,2
Ankara Müzik ve Güzel Sanatlar Üniversitesi,Ankara,,Hatay,2
Ankara Sosyal Bilimler Üniversitesi,Ankara,,Isparta,2
Ankara Üniversitesi,Ankara,,Kahramanmaraş,2
Ankara Yıldırım Beyazıt Üniversitesi,Ankara,,Kütahya,2
Antalya Belek Üniversitesi,Antalya,,Malatya,2
Antalya Bilim Üniversitesi,Antalya,,Nevşehir,2
Ardahan Üniversitesi,Ardahan,,Sakarya,2
Artvin Çoruh Üniversitesi,Artvin,,Samsun,2
Ataşehir Adıgüzel Meslek Yüksekokulu,İstanbul,,Sivas,2
Atatürk Üniversitesi,Erzurum,,Adıyaman,1
Atılım Üniversitesi,Ankara,,Aksaray,1
Avrasya Üniversitesi,Trabzon,,Amasya,1
Aydın Adnan Menderes Üniversitesi,Aydın,,Ardahan,1
Bahçeşehir Üniversitesi,İstanbul,,Artvin,1
Balıkesir Üniversitesi,Balıkesir,,Aydın,1
Bandırma Onyedi Eylül Üniversitesi,Balıkesir,,Ağrı,1
Bartın Üniversitesi,Bartın,,Bartın,1
Başkent Üniversitesi,Ankara,,Batman,1
Batman Üniversitesi,Batman,,Bayburt,1
Bayburt Üniversitesi,Bayburt,,Bilecik,1
Beykoz Üniversitesi,İstanbul,,Bingöl,1
Bezmialem Vakıf Üniversitesi,İstanbul,,Bitlis,1
Bilecik Şeyh Edebali Üniversitesi,Bilecik,,Bolu,1
Bingöl Üniversitesi,Bingöl,,Burdur,1
Biruni Üniversitesi,İstanbul,,Denizli,1
Bitlis Eren Üniversitesi,Bitlis,,Diyarbakır,1
Boğaziçi Üniversitesi,İstanbul,,Düzce,1
Bolu Abant İzzet Baysal Üniversitesi,Bolu,,Edirne,1
Burdur Mehmet Akif Ersoy Üniversitesi,Burdur,,Elazığ,1
Bursa Teknik Üniversitesi,Bursa,,Erzincan,1
Bursa Uludağ Üniversitesi,Bursa,,Giresun,1
Çağ Üniversitesi,Mersin,,Gümüşhane,1
Çanakkale Onsekiz Mart Üniversitesi,Çanakkale,,Hakkari,1
Çankaya Üniversitesi,Ankara,,Iğdır,1
Çankırı Karatekin Üniversitesi,Çankırı,,Karabük,1
Çukurova Üniversitesi,Adana,,Karaman,1
Demiroğlu Bilim Üniversitesi,İstanbul,,Kars,1
Dicle Üniversitesi,Diyarbakır,,Kastamonu,1
Doğuş Üniversitesi,İstanbul,,Kilis,1
Dokuz Eylül Üniversitesi,İzmir,,Kırklareli,1
Düzce Üniversitesi,Düzce,,Kırıkkale,1
Ege Üniversitesi,İzmir,,Kırşehir,1
Erciyes Üniversitesi,Kayseri,,Manisa,1
Erzincan Binali Yıldırım Üniversitesi,Erzincan,,Mardin,1
Erzurum Teknik Üniversitesi,Erzurum,,Muğla,1
Eskişehir Osmangazi Üniversitesi,Eskişehir,,Muş,1
Eskişehir Teknik Üniversitesi,Eskişehir,,Niğde,1
Fatih Sultan Mehmet Üniversitesi,İstanbul,,Ordu,1
Fenerbahçe Üniversitesi,İstanbul,,Osmaniye,1
Fırat Üniversitesi,Elazığ,,Rize,1
Galatasaray Üniversitesi,İstanbul,,Siirt ,1
Gazi Üniversitesi,Ankara,,Sinop,1
Gaziantep İslam Bilim ve Teknoloji Üniversitesi,Gaziantep,,Tekirdağ,1
