Üniversite,Şehir,Resmi Kuruluş Yılı,,
Abdullah Gül Üniversitesi,Kayseri,2010,Şehir,Üniversite Sayısı
Acıbadem Üniversitesi,İstanbul,2007,İstanbul,58
Adana Alparslan Türkeş Bilim ve Teknoloji Üniversitesi,Adana,2011,Ankara,21
Adıyaman Üniversitesi,Adıyaman,2006,İzmir,10
Afyon Kocatepe Üniversitesi,Afyonkarahisar,1992,Antalya,5
Afyonkarahisar Sağlık Bilimleri Üniversitesi,Afyonkarahisar,2018,Konya,5
Ağrı İbrahim Çeçen Üniversitesi,Ağrı,2007,Gaziantep,4
Akdeniz Üniversitesi,Antalya,1982,Kayseri,4
Aksaray Üniversitesi,Aksaray,2006,Mersin,4
Alanya Alaaddin Keykubat Üniversitesi,Antalya,2015,Bursa,3
Alanya Üniversitesi,Antalya,2011,Eskişehir,3
Altınbaş Üniversitesi,İstanbul,2011,Kocaeli,3
Amasya Üniversitesi,Amasya,2006,Trabzon,3
Anadolu Üniversitesi,Eskişehir,1982,Adana,2
Ankara Bilim Üniversitesi,Ankara,2020,Afyonkarahisar,2
Ankara Hacı Bayram Veli Üniversitesi,Ankara,2018,Balıkesir,2
Ankara Medipol Üniversitesi,Ankara,2018,Erzurum,2
Ankara Müzik ve Güzel Sanatlar Üniversitesi,Ankara,2017,Hatay,2
Ankara Sosyal Bilimler Üniversitesi,Ankara,2013,Isparta,2
Ankara Üniversitesi,Ankara,1946,Kahramanmaraş,2
Ankara Yıldırım Beyazıt Üniversitesi,Ankara,2010,Kütahya,2
Antalya Belek Üniversitesi,Antalya,2015,Malatya,2
Antalya Bilim Üniversitesi,Antalya,2010,Nevşehir,2
Ardahan Üniversitesi,Ardahan,2008,Sakarya,2
Artvin Çoruh Üniversitesi,Artvin,2007,Samsun,2
Ataşehir Adıgüzel Meslek Yüksekokulu,İstanbul,2010,Sivas,2
Atatürk Üniversitesi,Erzurum,1957,Adıyaman,1
Atılım Üniversitesi,Ankara,1997,Aksaray,1
Avrasya Üniversitesi,Trabzon,2010,Amasya,1
Aydın Adnan Menderes Üniversitesi,Aydın,1992,Ardahan,1
Bahçeşehir Üniversitesi,İstanbul,1998,Artvin,1
Balıkesir Üniversitesi,Balıkesir,1992,Aydın,1
Bandırma Onyedi Eylül Üniversitesi,Balıkesir,2015,Ağrı,1
Bartın Üniversitesi,Bartın,2008,Bartın,1
Başkent Üniversitesi,Ankara,1994,Batman,1
Batman Üniversitesi,Batman,2007,Bayburt,1
Bayburt Üniversitesi,Bayburt,2008,Bilecik,1
Beykoz Üniversitesi,İstanbul,2008,Bingöl,1
Bezmialem Vakıf Üniversitesi,İstanbul,2010,Bitlis,1
Bilecik Şeyh Edebali Üniversitesi,Bilecik,2007,Bolu,1
